game_id,gameid_num,away,home,tm,line,min,fgm,fga,3pm,3pa,ftm,fta,off,def,tot,ast,pf,st,to,bs,ba,pts
20131126ORLATL,21300213,ORL,ATL,ORL,270,240,42,83,8,22,17,20,6,37,43,29,20,8,12,3,5,109
20131126ORLATL,21300213,ORL,ATL,ATL,-330,240,30,73,9,22,23,27,4,31,35,22,19,7,14,5,3,92
20131126GSWNOP,21300214,GSW,NOP,GSW,-110,240,40,88,7,19,15,21,9,32,41,25,14,8,10,6,8,102
20131126GSWNOP,21300214,GSW,NOP,NOP,-110,240,41,87,9,19,10,13,14,33,47,22,21,5,16,8,6,101
20131127INDCHA,21300215,IND,CHA,IND,-340,240,32,84,10,25,25,32,12,45,57,20,23,8,15,4,6,99
20131127INDCHA,21300215,IND,CHA,CHA,280,240,26,83,3,9,19,28,11,32,43,13,27,3,15,6,4,74
20131127PHIORL,21300216,PHI,ORL,PHI,150,240,38,85,7,22,11,17,9,31,40,22,15,8,15,4,6,94
20131127PHIORL,21300216,PHI,ORL,ORL,-170,240,43,82,4,19,15,21,7,38,45,22,16,10,17,6,4,105
20131127MEMBOS,21300217,MEM,BOS,MEM,-130,240,36,80,3,9,25,31,9,32,41,24,18,7,8,6,7,100
20131127MEMBOS,21300217,MEM,BOS,BOS,110,240,38,89,7,20,10,13,17,29,46,14,20,1,15,7,6,93
20131127LALBKN,21300218,LAL,BKN,LAL,115,240,34,85,13,30,18,22,11,37,48,21,24,5,10,7,10,99
20131127LALBKN,21300218,LAL,BKN,BKN,-135,240,31,83,11,30,21,26,11,33,44,21,23,6,12,10,7,94
20131127MIACLE,21300219,MIA,CLE,MIA,-500,240,35,72,4,19,21,25,2,39,41,23,19,11,14,7,2,95
20131127MIACLE,21300219,MIA,CLE,CLE,400,240,29,83,10,28,16,24,12,35,47,19,18,7,18,2,7,84
20131127CHIDET,21300220,CHI,DET,CHI,140,240,42,79,6,17,9,12,8,32,40,24,15,9,16,1,4,99
20131127CHIDET,21300220,CHI,DET,DET,-160,240,34,77,2,12,9,19,12,26,38,12,19,11,15,4,1,79
20131127ATLHOU,21300221,ATL,HOU,ATL,310,240,32,75,8,22,12,15,6,26,32,21,24,8,18,4,3,84
20131127ATLHOU,21300221,ATL,HOU,HOU,-380,240,43,78,14,27,13,21,8,34,42,25,17,8,13,3,4,113
20131127WASMIL,21300222,WAS,MIL,WAS,-145,265,37,74,10,26,16,22,5,29,34,27,9,14,19,2,1,100
20131127WASMIL,21300222,WAS,MIL,MIL,125,265,37,85,10,25,8,10,11,33,44,26,20,7,22,1,2,92
20131127DENMIN,21300223,DEN,MIN,DEN,250,240,45,88,8,16,19,25,9,27,36,22,25,11,12,5,3,117
20131127DENMIN,21300223,DEN,MIN,MIN,-300,240,40,88,5,20,25,28,15,31,46,19,20,5,16,3,5,110
20131127SASOKC,21300224,SAS,OKC,SAS,125,240,36,92,7,27,9,14,12,33,45,19,16,11,12,3,6,88
20131127SASOKC,21300224,SAS,OKC,OKC,-145,240,39,84,4,15,12,15,11,40,51,24,17,5,16,6,3,94
20131127GSWDAL,21300225,GSW,DAL,GSW,170,240,32,76,9,23,26,34,10,42,52,18,15,2,18,6,4,99
20131127GSWDAL,21300225,GSW,DAL,DAL,-200,240,44,99,7,18,8,10,12,31,43,27,22,9,6,4,6,103
20131127PORPHX,21300226,POR,PHX,POR,-180,240,39,86,7,19,21,24,15,24,39,21,20,4,12,2,4,106
20131127PORPHX,21300226,POR,PHX,PHX,160,240,42,81,10,24,26,31,13,30,43,22,22,9,10,4,2,120
20131127NYKLAC,21300227,NYK,LAC,NYK,450,240,32,83,3,20,13,15,12,32,44,20,27,6,14,6,2,80
20131127NYKLAC,21300227,NYK,LAC,LAC,-600,240,32,74,6,25,23,31,7,35,42,17,17,8,13,2,6,93
20131129MILCHA,21300228,MIL,CHA,MIL,170,240,28,84,5,17,15,20,7,31,38,17,22,10,9,9,4,76
20131129MILCHA,21300228,MIL,CHA,CHA,-200,240,35,79,3,15,19,31,16,38,54,20,17,5,17,4,9,92
20131129SASORL,21300229,SAS,ORL,SAS,-500,240,42,76,8,17,17,17,7,36,43,24,12,10,19,4,5,109
20131129SASORL,21300229,SAS,ORL,ORL,400,240,34,78,9,19,14,15,4,24,28,20,13,8,15,5,4,91
20131129MIATOR,21300230,MIA,TOR,MIA,-260,240,36,76,9,22,9,13,3,33,36,24,30,10,19,4,5,90
