game_id,gameid_num,away,home,tm,line,min,fgm,fga,3pm,3pa,ftm,fta,off,def,tot,ast,pf,st,to,bs,ba,pts
20150407CHAMIA,21401155,CHA,MIA,CHA,250,240,39,91,5,18,17,21,15,30,45,12,26,8,9,5,6,100
20150407CHAMIA,21401155,CHA,MIA,MIA,-300,240,40,81,3,15,22,28,8,34,42,20,17,4,11,6,5,105
20150407GSWNOP,21401156,GSW,NOP,GSW,-200,240,42,95,9,22,7,10,11,39,50,25,21,6,11,12,8,100
20150407GSWNOP,21401156,GSW,NOP,NOP,170,240,36,83,9,19,22,30,8,37,45,25,13,8,12,8,12,103
20150407SASOKC,21401157,SAS,OKC,SAS,-260,240,47,89,10,24,9,13,12,34,46,27,20,7,15,7,3,113
20150407SASOKC,21401157,SAS,OKC,OKC,220,240,34,84,5,19,15,28,11,28,39,14,14,13,15,3,7,88
20150407MINSAC,21401158,MIN,SAC,MIN,350,240,45,93,6,19,15,21,9,27,36,29,24,6,10,4,7,111
20150407MINSAC,21401158,MIN,SAC,SAC,-450,240,42,80,9,24,23,34,13,36,49,25,17,5,14,7,4,116
20150407LALLAC,21401159,LAL,LAC,LAL,2500,240,35,84,9,25,21,27,8,35,43,24,25,2,11,1,6,100
20150407LALLAC,21401159,LAL,LAC,LAC,-5000,240,39,81,7,24,20,30,6,40,46,25,22,6,8,6,1,105
20150408TORCHA,21401160,TOR,CHA,TOR,-165,240,33,77,12,27,14,19,9,38,47,20,19,5,9,9,5,92
20150408TORCHA,21401160,TOR,CHA,CHA,145,240,28,81,10,22,8,11,9,26,35,15,15,4,8,5,9,74
20150408CHIORL,21401161,CHI,ORL,CHI,-340,240,34,79,12,26,23,31,12,29,41,25,16,9,15,4,3,103
20150408CHIORL,21401161,CHI,ORL,ORL,280,240,38,82,8,23,21,24,13,31,44,21,19,8,15,3,4,105
20150408WASPHI,21401162,WAS,PHI,WAS,-220,240,47,72,8,15,17,23,6,39,45,35,21,4,14,8,1,119
